sensor,date,measurement
temperature,2023-04-25 13:36:26.745956,145
humidity,2023-04-25 13:36:26.745958,34
light,2023-04-25 13:36:26.745960,2582
weight,2023-04-25 13:36:26.745962,86
humidity,2023-04-25 13:36:26.745964,34
humidity,2023-04-25 13:36:26.745966,82
humidity,2023-04-25 13:36:26.745968,41
weight,2023-04-25 13:36:26.745970,100
temperature,2023-04-25 13:36:26.745972,122
weight,2023-04-25 13:36:26.745974,172
weight,2023-04-25 13:36:26.745976,188
light,2023-04-25 13:36:26.745978,1370
temperature,2023-04-25 13:36:26.745980,74
temperature,2023-04-25 13:36:26.745982,52
light,2023-04-25 13:36:26.745984,3989
humidity,2023-04-25 13:36:26.745986,49
humidity,2023-04-25 13:36:26.745988,1
light,2023-04-25 13:36:26.745990,1272
temperature,2023-04-25 13:36:26.745992,97
humidity,2023-04-25 13:36:26.745995,97
light,2023-04-25 13:36:26.745997,3049
weight,2023-04-25 13:36:26.746024,166
humidity,2023-04-25 13:36:26.746026,45
light,2023-04-25 13:36:26.746028,2899
temperature,2023-04-25 13:36:26.746030,22
temperature,2023-04-25 13:36:26.746032,E0
weight,2023-04-25 13:36:26.746034,30
light,2023-04-25 13:36:26.746036,2814
temperature,2023-04-25 13:36:26.746038,81
weight,2023-04-25 13:36:26.746040,25
humidity,2023-04-25 13:36:26.746042,46
weight,2023-04-25 13:36:26.746044,14
temperature,2023-04-25 13:36:26.746046,65
weight,2023-04-25 13:36:26.746048,144
weight,2023-04-25 13:36:26.746050,19
temperature,2023-04-25 13:36:26.746052,77
humidity,2023-04-25 13:36:26.746053,14
weight,2023-04-25 13:36:26.746055,132
humidity,2023-04-25 13:36:26.746057,67
light,2023-04-25 13:36:26.746059,1760
temperature,2023-04-25 13:36:26.746061,81
weight,2023-04-25 13:36:26.746063,194
weight,2023-04-25 13:36:26.746066,97
light,2023-04-25 13:36:26.746068,&^%$
humidity,2023-04-25 13:36:26.746070,22
weight,2023-04-25 13:36:26.746072,112
light,2023-04-25 13:36:26.746073,2738
light,2023-04-25 13:36:26.746075,997
humidity,2023-04-25 13:36:26.746078,98
weight,2023-04-25 13:36:26.746079,35
weight,2023-04-25 13:36:26.746081,134
humidity,2023-04-25 13:36:26.746083,67
weight,2023-04-25 13:36:26.746087,166
light,2023-04-25 13:36:26.746088,5505
humidity,2023-04-25 13:36:26.746090,
light,2023-04-25 13:36:26.746092,5334
humidity,2023-04-25 13:36:26.746094,89
weight,2023-04-25 13:36:26.746096,114
light,2023-04-25 13:36:26.746098,1135
temperature,2023-04-25 13:36:26.746100,106
weight,2023-04-25 13:36:26.746102,139
weight,2023-04-25 13:36:26.746104,29
light,2023-04-25 13:36:26.746106,3514
weight,2023-04-25 13:36:26.746108,163
light,2023-04-25 13:36:26.746109,1226
temperature,2023-04-25 13:36:26.746113,21
temperature,2023-04-25 13:36:26.746115,
light,2023-04-25 13:36:26.746117,4804
humidity,2023-04-25 13:36:26.746118,33
humidity,2023-04-25 13:36:26.746120,22
light,2023-04-25 13:36:26.746122,730
temperature,2023-04-25 13:36:26.746124,49
weight,2023-04-25 13:36:26.746126,146
humidity,2023-04-25 13:36:26.746128,96
humidity,2023-04-25 13:36:26.746130,6
humidity,2023-04-25 13:36:26.746132,16
temperature,2023-04-25 13:36:26.746134,139
light,2023-04-25 13:36:26.746135,1296
light,2023-04-25 13:36:26.746139,4526
weight,2023-04-25 13:36:26.746141,65
humidity,2023-04-25 13:36:26.746143,47
light,2023-04-25 13:36:26.746145,5914
light,2023-04-25 13:36:26.746147,4640
temperature,2023-04-25 13:36:26.746149,176
temperature,2023-04-25 13:36:26.746151,35
humidity,2023-04-25 13:36:26.746152,35
weight,2023-04-25 13:36:26.746155,107
light,2023-04-25 13:36:26.746157,4874
temperature,2023-04-25 13:36:26.746160,111
humidity,2023-04-25 13:36:26.746162,61
humidity,2023-04-25 13:36:26.746164,40
light,2023-04-25 13:36:26.746166,4288
humidity,2023-04-25 13:36:26.746168,44
light,2023-04-25 13:36:26.746170,3563
temperature,2023-04-25 13:36:26.746172,79
light,2023-04-25 13:36:26.746173,4249
humidity,2023-04-25 13:36:26.746175,30
weight,2023-04-25 13:36:26.746177,146
humidity,2023-04-25 13:36:26.746179,0
temperature,2023-04-25 13:36:26.746181,10
humidity,2023-04-25 13:36:26.746183,58
light,2023-04-25 13:36:26.746185,4529
light,2023-04-25 13:36:26.746187,2081
temperature,2023-04-25 13:36:26.746189,47
temperature,2023-04-25 13:36:26.746191,171
light,2023-04-25 13:36:26.746193,5402
temperature,2023-04-25 13:36:26.746194,175
weight,2023-04-25 13:36:26.746196,159
weight,2023-04-25 13:36:26.746198,108
weight,2023-04-25 13:36:26.746200,177
temperature,2023-04-25 13:36:26.746202,17
weight,2023-04-25 13:36:26.746206,67
light,2023-04-25 13:36:26.746208,4890
light,2023-04-25 13:36:26.746210,2956
temperature,2023-04-25 13:36:26.746212,36
light,2023-04-25 13:36:26.746216,2166
temperature,2023-04-25 13:36:26.746218,51
light,2023-04-25 13:36:26.746220,4796
weight,2023-04-25 13:36:26.746222,197
light,2023-04-25 13:36:26.746224,2936
temperature,2023-04-25 13:36:26.746226,196
humidity,2023-04-25 13:36:26.746228,20
light,2023-04-25 13:36:26.746229,3360
humidity,2023-04-25 13:36:26.746231,22
light,2023-04-25 13:36:26.746233,2339
light,2023-04-25 13:36:26.746235,3119
temperature,2023-04-25 13:36:26.746237,59
light,2023-04-25 13:36:26.746239,1963
weight,2023-04-25 13:36:26.746241,17
humidity,2023-04-25 13:36:26.746242,34
weight,2023-04-25 13:36:26.746244,23
temperature,2023-04-25 13:36:26.746246,143
light,2023-04-25 13:36:26.746248,1359
light,2023-04-25 13:36:26.746250,2195
temperature,2023-04-25 13:36:26.746253,4
temperature,2023-04-25 13:36:26.746255,105
light,2023-04-25 13:36:26.746257,2998
humidity,2023-04-25 13:36:26.746259,19
temperature,2023-04-25 13:36:26.746261,E5
weight,2023-04-25 13:36:26.746263,E4
weight,2023-04-25 13:36:26.746264,E9
temperature,2023-04-25 13:36:26.746266,116
light,2023-04-25 13:36:26.746268,2956
temperature,2023-04-25 13:36:26.746270,12
weight,2023-04-25 13:36:26.746273,156
light,2023-04-25 13:36:26.746275,2451
weight,2023-04-25 13:36:26.746277,2
weight,2023-04-25 13:36:26.746278,83
temperature,2023-04-25 13:36:26.746280,72
weight,2023-04-25 13:36:26.746282,104
temperature,2023-04-25 13:36:26.746284,E0
temperature,2023-04-25 13:36:26.746286,116
weight,2023-04-25 13:36:26.746288,159
humidity,2023-04-25 13:36:26.746289,71
temperature,2023-04-25 13:36:26.746291,29
temperature,2023-04-25 13:36:26.746293,92
weight,2023-04-25 13:36:26.746295,75
light,2023-04-25 13:36:26.746299,5243
light,2023-04-25 13:36:26.746301,1246
humidity,2023-04-25 13:36:26.746303,1
weight,2023-04-25 13:36:26.746305,136
light,2023-04-25 13:36:26.746306,4964
light,2023-04-25 13:36:26.746310,2841
temperature,2023-04-25 13:36:26.746312,62
light,2023-04-25 13:36:26.746314,2368
humidity,2023-04-25 13:36:26.746316,0
weight,2023-04-25 13:36:26.746318,179
temperature,2023-04-25 13:36:26.746319,
weight,2023-04-25 13:36:26.746321,49
light,2023-04-25 13:36:26.746323,2035
weight,2023-04-25 13:36:26.746325,&^%$
light,2023-04-25 13:36:26.746327,E2
humidity,2023-04-25 13:36:26.746329,3
temperature,2023-04-25 13:36:26.746331,61
light,2023-04-25 13:36:26.746333,382
humidity,2023-04-25 13:36:26.746335,94
light,2023-04-25 13:36:26.746336,753
weight,2023-04-25 13:36:26.746338,E6
weight,2023-04-25 13:36:26.746342,82
weight,2023-04-25 13:36:26.746344,153
light,2023-04-25 13:36:26.746347,2970
humidity,2023-04-25 13:36:26.746349,82
humidity,2023-04-25 13:36:26.746351,60
temperature,2023-04-25 13:36:26.746353,
humidity,2023-04-25 13:36:26.746355,14
temperature,2023-04-25 13:36:26.746356,130
temperature,2023-04-25 13:36:26.746358,111
humidity,2023-04-25 13:36:26.746360,E3
weight,2023-04-25 13:36:26.746362,88
weight,2023-04-25 13:36:26.746364,79
light,2023-04-25 13:36:26.746365,330
humidity,2023-04-25 13:36:26.746367,23
temperature,2023-04-25 13:36:26.746369,103
weight,2023-04-25 13:36:26.746371,74
temperature,2023-04-25 13:36:26.746373,96
light,2023-04-25 13:36:26.746375,4749
humidity,2023-04-25 13:36:26.746377,4
light,2023-04-25 13:36:26.746379,578
temperature,2023-04-25 13:36:26.746381,72
temperature,2023-04-25 13:36:26.746383,91
temperature,2023-04-25 13:36:26.746384,150
weight,2023-04-25 13:36:26.746387,29
light,2023-04-25 13:36:26.746389,1617
humidity,2023-04-25 13:36:26.746392,78
light,2023-04-25 13:36:26.746395,2166
temperature,2023-04-25 13:36:26.746396,31
temperature,2023-04-25 13:36:26.746399,68
temperature,2023-04-25 13:36:26.746401,173
light,2023-04-25 13:36:26.746402,5955
weight,2023-04-25 13:36:26.746404,19
temperature,2023-04-25 13:36:26.746406,104
light,2023-04-25 13:36:26.746408,3576
temperature,2023-04-25 13:36:26.746410,9
temperature,2023-04-25 13:36:26.746412,193
weight,2023-04-25 13:36:26.746414,E9
humidity,2023-04-25 13:36:26.746415,43
humidity,2023-04-25 13:36:26.746418,89
light,2023-04-25 13:36:26.746419,3067
humidity,2023-04-25 13:36:26.746421,E6
humidity,2023-04-25 13:36:26.746423,7
humidity,2023-04-25 13:36:26.746425,2
light,2023-04-25 13:36:26.746427,Test
humidity,2023-04-25 13:36:26.746428,90
humidity,2023-04-25 13:36:26.746430,99
humidity,2023-04-25 13:36:26.746432,13
light,2023-04-25 13:36:26.746434,4763
light,2023-04-25 13:36:26.746439,4232
humidity,2023-04-25 13:36:26.746441,29
light,2023-04-25 13:36:26.746443,4621
humidity,2023-04-25 13:36:26.746445,54
temperature,2023-04-25 13:36:26.746447,143
weight,2023-04-25 13:36:26.746449,115
light,2023-04-25 13:36:26.746451,4743
humidity,2023-04-25 13:36:26.746453,96
light,2023-04-25 13:36:26.746455,2817
temperature,2023-04-25 13:36:26.746457,112
light,2023-04-25 13:36:26.746460,4626
humidity,2023-04-25 13:36:26.746462,100
light,2023-04-25 13:36:26.746463,1885
temperature,2023-04-25 13:36:26.746466,165
light,2023-04-25 13:36:26.746468,1504
humidity,2023-04-25 13:36:26.746471,72
temperature,2023-04-25 13:36:26.746473,55
weight,2023-04-25 13:36:26.746475,15
light,2023-04-25 13:36:26.746477,5658
temperature,2023-04-25 13:36:26.746480,20
weight,2023-04-25 13:36:26.746483,95
light,2023-04-25 13:36:26.746485,3367
weight,2023-04-25 13:36:26.746487,135
light,2023-04-25 13:36:26.746490,1244
weight,2023-04-25 13:36:26.746492,157
weight,2023-04-25 13:36:26.746494,E3
light,2023-04-25 13:36:26.746496,3571
temperature,2023-04-25 13:36:26.746498,E7
weight,2023-04-25 13:36:26.746500,153
humidity,2023-04-25 13:36:26.746501,36
light,2023-04-25 13:36:26.746503,4423
temperature,2023-04-25 13:36:26.746505,E7
light,2023-04-25 13:36:26.746508,4811
weight,2023-04-25 13:36:26.746510,179
light,2023-04-25 13:36:26.746511,5060
weight,2023-04-25 13:36:26.746514,145
temperature,2023-04-25 13:36:26.746515,43
humidity,2023-04-25 13:36:26.746517,25
temperature,2023-04-25 13:36:26.746519,90
weight,2023-04-25 13:36:26.746521,21
humidity,2023-04-25 13:36:26.746523,E5
weight,2023-04-25 13:36:26.746524,154
temperature,2023-04-25 13:36:26.746526,133
light,2023-04-25 13:36:26.746528,5111
weight,2023-04-25 13:36:26.746530,27
humidity,2023-04-25 13:36:26.746531,22
temperature,2023-04-25 13:36:26.746539,181
humidity,2023-04-25 13:36:26.746541,41
weight,2023-04-25 13:36:26.746543,137
weight,2023-04-25 13:36:26.746545,E8
humidity,2023-04-25 13:36:26.746547,Test
light,2023-04-25 13:36:26.746548,926
temperature,2023-04-25 13:36:26.746550,197
light,2023-04-25 13:36:26.746552,3780
weight,2023-04-25 13:36:26.746554,44
weight,2023-04-25 13:36:26.746556,54
humidity,2023-04-25 13:36:26.746557,60
temperature,2023-04-25 13:36:26.746559,57
temperature,2023-04-25 13:36:26.746561,179
temperature,2023-04-25 13:36:26.746563,2
light,2023-04-25 13:36:26.746565,5948
temperature,2023-04-25 13:36:26.746567,20
weight,2023-04-25 13:36:26.746569,92
weight,2023-04-25 13:36:26.746570,48
humidity,2023-04-25 13:36:26.746572,E5
weight,2023-04-25 13:36:26.746587,99
humidity,2023-04-25 13:36:26.746589,&^%$
light,2023-04-25 13:36:26.746591,1135
temperature,2023-04-25 13:36:26.746593,89
temperature,2023-04-25 13:36:26.746597,51
temperature,2023-04-25 13:36:26.746599,126
weight,2023-04-25 13:36:26.746600,14
light,2023-04-25 13:36:26.746603,3021
temperature,2023-04-25 13:36:26.746604,190
humidity,2023-04-25 13:36:26.746606,&^%$
humidity,2023-04-25 13:36:26.746608,81
light,2023-04-25 13:36:26.746610,4841
weight,2023-04-25 13:36:26.746612,E8
light,2023-04-25 13:36:26.746616,E0
weight,2023-04-25 13:36:26.746618,148
weight,2023-04-25 13:36:26.746620,123
temperature,2023-04-25 13:36:26.746622,72
temperature,2023-04-25 13:36:26.746624,E1
temperature,2023-04-25 13:36:26.746626,43
humidity,2023-04-25 13:36:26.746628,31
weight,2023-04-25 13:36:26.746630,112
temperature,2023-04-25 13:36:26.746632,90
humidity,2023-04-25 13:36:26.746633,E4
light,2023-04-25 13:36:26.746635,1910
light,2023-04-25 13:36:26.746637,2469
weight,2023-04-25 13:36:26.746639,172
weight,2023-04-25 13:36:26.746641,98
weight,2023-04-25 13:36:26.746645,E6
temperature,2023-04-25 13:36:26.746647,94
light,2023-04-25 13:36:26.746648,5508
temperature,2023-04-25 13:36:26.746650,153
humidity,2023-04-25 13:36:26.746652,4
weight,2023-04-25 13:36:26.746654,84
temperature,2023-04-25 13:36:26.746656,121
light,2023-04-25 13:36:26.746658,
temperature,2023-04-25 13:36:26.746660,107
light,2023-04-25 13:36:26.746662,5930
light,2023-04-25 13:36:26.746664,1069
temperature,2023-04-25 13:36:26.746666,102
weight,2023-04-25 13:36:26.746670,70
temperature,2023-04-25 13:36:26.746672,57
light,2023-04-25 13:36:26.746674,1552
temperature,2023-04-25 13:36:26.746676,53
weight,2023-04-25 13:36:26.746678,175
light,2023-04-25 13:36:26.746680,2985
light,2023-04-25 13:36:26.746682,3796
humidity,2023-04-25 13:36:26.746684,30
light,2023-04-25 13:36:26.746687,4992
weight,2023-04-25 13:36:26.746689,164
light,2023-04-25 13:36:26.746691,5475
temperature,2023-04-25 13:36:26.746695,E8
humidity,2023-04-25 13:36:26.746696,94
temperature,2023-04-25 13:36:26.746698,78
temperature,2023-04-25 13:36:26.746700,20
humidity,2023-04-25 13:36:26.746702,83
weight,2023-04-25 13:36:26.746705,12
weight,2023-04-25 13:36:26.746706,68
weight,2023-04-25 13:36:26.746709,65
humidity,2023-04-25 13:36:26.746711,57
temperature,2023-04-25 13:36:26.746712,140
temperature,2023-04-25 13:36:26.746714,161
light,2023-04-25 13:36:26.746716,2892
humidity,2023-04-25 13:36:26.746719,43
humidity,2023-04-25 13:36:26.746721,0
humidity,2023-04-25 13:36:26.746723,55
light,2023-04-25 13:36:26.746725,5862
temperature,2023-04-25 13:36:26.746727,64
temperature,2023-04-25 13:36:26.746729,95
temperature,2023-04-25 13:36:26.746730,42
temperature,2023-04-25 13:36:26.746732,193
light,2023-04-25 13:36:26.746734,439
humidity,2023-04-25 13:36:26.746736,56
weight,2023-04-25 13:36:26.746738,161
temperature,2023-04-25 13:36:26.746742,84
light,2023-04-25 13:36:26.746744,2042
weight,2023-04-25 13:36:26.746745,10
light,2023-04-25 13:36:26.746749,765
temperature,2023-04-25 13:36:26.746751,5
humidity,2023-04-25 13:36:26.746753,71
temperature,2023-04-25 13:36:26.746754,149
light,2023-04-25 13:36:26.746756,584
weight,2023-04-25 13:36:26.746758,87
humidity,2023-04-25 13:36:26.746760,58
temperature,2023-04-25 13:36:26.746762,85
humidity,2023-04-25 13:36:26.746764,92
weight,2023-04-25 13:36:26.746766,173
weight,2023-04-25 13:36:26.746767,45
temperature,2023-04-25 13:36:26.746769,156
light,2023-04-25 13:36:26.746798,982
temperature,2023-04-25 13:36:26.746804,E8
humidity,2023-04-25 13:36:26.746807,46
weight,2023-04-25 13:36:26.746810,56
temperature,2023-04-25 13:36:26.746813,114
weight,2023-04-25 13:36:26.746815,160
humidity,2023-04-25 13:36:26.746818,30
humidity,2023-04-25 13:36:26.746821,E3
temperature,2023-04-25 13:36:26.746831,97
temperature,2023-04-25 13:36:26.746833,28
light,2023-04-25 13:36:26.746836,1764
weight,2023-04-25 13:36:26.746839,55
temperature,2023-04-25 13:36:26.746841,78
weight,2023-04-25 13:36:26.746844,87
humidity,2023-04-25 13:36:26.746847,14
weight,2023-04-25 13:36:26.746850,50
light,2023-04-25 13:36:26.746853,2213
humidity,2023-04-25 13:36:26.746856,2
weight,2023-04-25 13:36:26.746859,12
weight,2023-04-25 13:36:26.746861,31
humidity,2023-04-25 13:36:26.746864,70
light,2023-04-25 13:36:26.746867,3198
temperature,2023-04-25 13:36:26.746870,32
weight,2023-04-25 13:36:26.746873,44
light,2023-04-25 13:36:26.746876,1658
weight,2023-04-25 13:36:26.746879,26
humidity,2023-04-25 13:36:26.746882,31
light,2023-04-25 13:36:26.746885,2938
light,2023-04-25 13:36:26.746889,4083
humidity,2023-04-25 13:36:26.746892,E2
weight,2023-04-25 13:36:26.746895,95
humidity,2023-04-25 13:36:26.746900,27
temperature,2023-04-25 13:36:26.746903,43
temperature,2023-04-25 13:36:26.746906,137
weight,2023-04-25 13:36:26.746911,108
temperature,2023-04-25 13:36:26.746922,141
humidity,2023-04-25 13:36:26.746928,22
temperature,2023-04-25 13:36:26.746935,175
weight,2023-04-25 13:36:26.746941,35
temperature,2023-04-25 13:36:26.746947,6
humidity,2023-04-25 13:36:26.746950,53
temperature,2023-04-25 13:36:26.746953,56
light,2023-04-25 13:36:26.746956,E5
light,2023-04-25 13:36:26.746958,8
humidity,2023-04-25 13:36:26.746961,85
weight,2023-04-25 13:36:26.746964,0
temperature,2023-04-25 13:36:26.746967,164
temperature,2023-04-25 13:36:26.746988,199
humidity,2023-04-25 13:36:26.747011,4
humidity,2023-04-25 13:36:26.747016,12
temperature,2023-04-25 13:36:26.747019,110
weight,2023-04-25 13:36:26.747028,105
light,2023-04-25 13:36:26.747031,2511
light,2023-04-25 13:36:26.747045,2699
weight,2023-04-25 13:36:26.747062,48
humidity,2023-04-25 13:36:26.747064,26
weight,2023-04-25 13:36:26.747066,165
temperature,2023-04-25 13:36:26.747068,173
light,2023-04-25 13:36:26.747070,
weight,2023-04-25 13:36:26.747072,E5
weight,2023-04-25 13:36:26.747074,27
temperature,2023-04-25 13:36:26.747076,182
humidity,2023-04-25 13:36:26.747078,&^%$
light,2023-04-25 13:36:26.747079,3684
weight,2023-04-25 13:36:26.747081,89
temperature,2023-04-25 13:36:26.747083,58
weight,2023-04-25 13:36:26.747085,113
humidity,2023-04-25 13:36:26.747087,66
humidity,2023-04-25 13:36:26.747089,&^%$
light,2023-04-25 13:36:26.747090,852
weight,2023-04-25 13:36:26.747092,186
light,2023-04-25 13:36:26.747094,3248
temperature,2023-04-25 13:36:26.747096,6
light,2023-04-25 13:36:26.747098,4899
temperature,2023-04-25 13:36:26.747099,6
light,2023-04-25 13:36:26.747102,3693
weight,2023-04-25 13:36:26.747104,E5
temperature,2023-04-25 13:36:26.747114,38
weight,2023-04-25 13:36:26.747116,187
weight,2023-04-25 13:36:26.747117,76
weight,2023-04-25 13:36:26.747120,71
temperature,2023-04-25 13:36:26.747121,41
humidity,2023-04-25 13:36:26.747123,85
weight,2023-04-25 13:36:26.747127,119
weight,2023-04-25 13:36:26.747129,170
humidity,2023-04-25 13:36:26.747131,60
humidity,2023-04-25 13:36:26.747133,86
temperature,2023-04-25 13:36:26.747135,151
light,2023-04-25 13:36:26.747137,188
temperature,2023-04-25 13:36:26.747139,5
temperature,2023-04-25 13:36:26.747141,117
light,2023-04-25 13:36:26.747143,3139
weight,2023-04-25 13:36:26.747145,16
light,2023-04-25 13:36:26.747147,353
temperature,2023-04-25 13:36:26.747148,E0
weight,2023-04-25 13:36:26.747150,21
humidity,2023-04-25 13:36:26.747152,
light,2023-04-25 13:36:26.747153,2748
light,2023-04-25 13:36:26.747155,4909
humidity,2023-04-25 13:36:26.747157,76
weight,2023-04-25 13:36:26.747161,137
light,2023-04-25 13:36:26.747162,2876
temperature,2023-04-25 13:36:26.747165,39
weight,2023-04-25 13:36:26.747166,Test
weight,2023-04-25 13:36:26.747168,180
weight,2023-04-25 13:36:26.747170,4
temperature,2023-04-25 13:36:26.747172,61
weight,2023-04-25 13:36:26.747174,114
weight,2023-04-25 13:36:26.747176,71
weight,2023-04-25 13:36:26.747177,108
weight,2023-04-25 13:36:26.747179,124
weight,2023-04-25 13:36:26.747182,130
weight,2023-04-25 13:36:26.747183,102
humidity,2023-04-25 13:36:26.747185,68
weight,2023-04-25 13:36:26.747189,87
temperature,2023-04-25 13:36:26.747191,Test
weight,2023-04-25 13:36:26.747192,1
weight,2023-04-25 13:36:26.747194,121
temperature,2023-04-25 13:36:26.747196,194
weight,2023-04-25 13:36:26.747200,151
light,2023-04-25 13:36:26.747203,310
humidity,2023-04-25 13:36:26.747205,8
humidity,2023-04-25 13:36:26.747207,77
light,2023-04-25 13:36:26.747210,733
temperature,2023-04-25 13:36:26.747212,E6
humidity,2023-04-25 13:36:26.747214,51
temperature,2023-04-25 13:36:26.747216,161
weight,2023-04-25 13:36:26.747218,117
humidity,2023-04-25 13:36:26.747219,30
humidity,2023-04-25 13:36:26.747221,E7
temperature,2023-04-25 13:36:26.747223,19
temperature,2023-04-25 13:36:26.747225,26
weight,2023-04-25 13:36:26.747227,E1
humidity,2023-04-25 13:36:26.747229,60
humidity,2023-04-25 13:36:26.747231,40
light,2023-04-25 13:36:26.747233,5311
light,2023-04-25 13:36:26.747235,E3
humidity,2023-04-25 13:36:26.747237,33
temperature,2023-04-25 13:36:26.747238,127
weight,2023-04-25 13:36:26.747240,23
humidity,2023-04-25 13:36:26.747242,80
light,2023-04-25 13:36:26.747244,2748
humidity,2023-04-25 13:36:26.747246,68
temperature,2023-04-25 13:36:26.747248,22
light,2023-04-25 13:36:26.747250,3509
weight,2023-04-25 13:36:26.747252,53
light,2023-04-25 13:36:26.747256,4346
temperature,2023-04-25 13:36:26.747257,185
humidity,2023-04-25 13:36:26.747259,5
light,2023-04-25 13:36:26.747261,1174
weight,2023-04-25 13:36:26.747263,45
weight,2023-04-25 13:36:26.747265,37
temperature,2023-04-25 13:36:26.747267,83
weight,2023-04-25 13:36:26.747268,200
temperature,2023-04-25 13:36:26.747270,133
temperature,2023-04-25 13:36:26.747272,78
temperature,2023-04-25 13:36:26.747274,21
weight,2023-04-25 13:36:26.747276,E6
weight,2023-04-25 13:36:26.747277,172
light,2023-04-25 13:36:26.747279,510
temperature,2023-04-25 13:36:26.747281,169
temperature,2023-04-25 13:36:26.747283,92
light,2023-04-25 13:36:26.747285,4444
temperature,2023-04-25 13:36:26.747287,71
temperature,2023-04-25 13:36:26.747289,10
light,2023-04-25 13:36:26.747291,3189
light,2023-04-25 13:36:26.747293,4499
temperature,2023-04-25 13:36:26.747295,107
temperature,2023-04-25 13:36:26.747297,171
weight,2023-04-25 13:36:26.747300,24
humidity,2023-04-25 13:36:26.747302,99
weight,2023-04-25 13:36:26.747304,E1
humidity,2023-04-25 13:36:26.747306,12
weight,2023-04-25 13:36:26.747307,123
weight,2023-04-25 13:36:26.747309,44
light,2023-04-25 13:36:26.747311,737
weight,2023-04-25 13:36:26.747313,147
temperature,2023-04-25 13:36:26.747316,65
light,2023-04-25 13:36:26.747319,Test
temperature,2023-04-25 13:36:26.747321,197
humidity,2023-04-25 13:36:26.747322,62
light,2023-04-25 13:36:26.747340,3869
light,2023-04-25 13:36:26.747342,351
weight,2023-04-25 13:36:26.747344,E3
light,2023-04-25 13:36:26.747346,459
light,2023-04-25 13:36:26.747348,3509
weight,2023-04-25 13:36:26.747350,132
weight,2023-04-25 13:36:26.747352,113
humidity,2023-04-25 13:36:26.747353,87
humidity,2023-04-25 13:36:26.747355,75
weight,2023-04-25 13:36:26.747357,147
weight,2023-04-25 13:36:26.747359,127
humidity,2023-04-25 13:36:26.747363,73
humidity,2023-04-25 13:36:26.747365,41
temperature,2023-04-25 13:36:26.747366,187
temperature,2023-04-25 13:36:26.747368,130
humidity,2023-04-25 13:36:26.747371,81
humidity,2023-04-25 13:36:26.747372,15
light,2023-04-25 13:36:26.747374,E3
weight,2023-04-25 13:36:26.747376,62
weight,2023-04-25 13:36:26.747378,135
weight,2023-04-25 13:36:26.747380,72
temperature,2023-04-25 13:36:26.747381,37
weight,2023-04-25 13:36:26.747385,146
light,2023-04-25 13:36:26.747387,4377
humidity,2023-04-25 13:36:26.747389,34
humidity,2023-04-25 13:36:26.747391,52
weight,2023-04-25 13:36:26.747393,E3
weight,2023-04-25 13:36:26.747394,124
weight,2023-04-25 13:36:26.747396,26
light,2023-04-25 13:36:26.747398,E1
humidity,2023-04-25 13:36:26.747400,26
temperature,2023-04-25 13:36:26.747402,14
light,2023-04-25 13:36:26.747403,660
humidity,2023-04-25 13:36:26.747406,8
light,2023-04-25 13:36:26.747409,1577
light,2023-04-25 13:36:26.747411,1918
temperature,2023-04-25 13:36:26.747413,155
temperature,2023-04-25 13:36:26.747416,146
light,2023-04-25 13:36:26.747417,5400
light,2023-04-25 13:36:26.747419,4802
temperature,2023-04-25 13:36:26.747422,189
light,2023-04-25 13:36:26.747424,5699
temperature,2023-04-25 13:36:26.747426,86
weight,2023-04-25 13:36:26.747427,45
light,2023-04-25 13:36:26.747429,3495
weight,2023-04-25 13:36:26.747431,99
temperature,2023-04-25 13:36:26.747433,74
humidity,2023-04-25 13:36:26.747435,59
humidity,2023-04-25 13:36:26.747437,61
weight,2023-04-25 13:36:26.747439,123
temperature,2023-04-25 13:36:26.747441,65
temperature,2023-04-25 13:36:26.747442,84
temperature,2023-04-25 13:36:26.747444,50
humidity,2023-04-25 13:36:26.747446,94
weight,2023-04-25 13:36:26.747448,E9
humidity,2023-04-25 13:36:26.747451,E5
humidity,2023-04-25 13:36:26.747452,44
weight,2023-04-25 13:36:26.747456,118
temperature,2023-04-25 13:36:26.747458,
temperature,2023-04-25 13:36:26.747461,152
weight,2023-04-25 13:36:26.747465,108
weight,2023-04-25 13:36:26.747467,137
weight,2023-04-25 13:36:26.747469,87
temperature,2023-04-25 13:36:26.747470,195
light,2023-04-25 13:36:26.747473,1547
weight,2023-04-25 13:36:26.747475,180
temperature,2023-04-25 13:36:26.747477,57
humidity,2023-04-25 13:36:26.747479,94
humidity,2023-04-25 13:36:26.747481,27
light,2023-04-25 13:36:26.747482,1840
light,2023-04-25 13:36:26.747484,4297
light,2023-04-25 13:36:26.747486,841
light,2023-04-25 13:36:26.747489,5518
temperature,2023-04-25 13:36:26.747492,E1
temperature,2023-04-25 13:36:26.747495,66
light,2023-04-25 13:36:26.747497,580
temperature,2023-04-25 13:36:26.747501,20
temperature,2023-04-25 13:36:26.747504,E6
weight,2023-04-25 13:36:26.747506,71
light,2023-04-25 13:36:26.747509,793
humidity,2023-04-25 13:36:26.747514,71
humidity,2023-04-25 13:36:26.747517,E2
temperature,2023-04-25 13:36:26.747520,195
weight,2023-04-25 13:36:26.747523,75
weight,2023-04-25 13:36:26.747525,55
weight,2023-04-25 13:36:26.747528,101
humidity,2023-04-25 13:36:26.747531,42
temperature,2023-04-25 13:36:26.747534,28
humidity,2023-04-25 13:36:26.747537,63
temperature,2023-04-25 13:36:26.747540,71
